<button class="sort" onclick="sortTable(0)"><img class="sort" src="media/sort.png"></button>Sample	<button class="sort" onclick="sortTable(1)"><img class="sort" src="media/sort.png"></button>Class	<button class="sort" onclick="sortTable(2)"><img class="sort" src="media/sort.png"></button>Type	<button class="sort" onclick="sortTable(3)"><img class="sort" src="media/sort.png"></button>OS	<button class="sort" onclick="sortTable(4)"><img class="sort" src="media/sort.png"></button>T [K] 	<button class="sort" onclick="sortTable(5)"><img class="sort" src="media/sort.png"></button>IS [mm/s] 	&plusmn;	<button class="sort" onclick="sortTable(7)"><img class="sort" src="media/sort.png"></button>QS [mm/s]	&plusmn;	<button class="sort" onclick="sortTable(9)"><img class="sort" src="media/sort.png"></button>B<sub>hf</sub> [T]	&plusmn;	Site<sub>(Total)</sub>	Model	Reference
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.3			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.3			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.3			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.01		42.7			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43.1			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.02		43			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		0.01		43.3			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.51		-0.2		49.3			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.51		-0.2		49.8			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.51		-0.2		49.5			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.2		49.5			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		49.9			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		50			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		49.7			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		50			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		50.2			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		50.4			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		50.1			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		49.9			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		49.9			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	B	3	4.5	0.5		-0.22		49.9			VBF	<a href="http://www.sciencedirect.com/science/article/pii/S0016703710001778?via%3Dihub" target="_blank">Larese-Casanova et al. 2010</a>
Goethite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.37		-0.26		38		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Goethite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.48		-0.25		50.6		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	294	0.37		0.53				1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.47		0.02		45.8		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.25		0.02		45.4		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.38		0.55				1<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.37		0.95				2<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.49		-0.02		48.9		1<sub>(3)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.49		-0.24		47.8		2<sub>(3)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.49		-0.81		47.3		3<sub>(3)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Schwertmannite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.39		0.64				1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Schwertmannite	Hydroxides and Oxides containing hydroxyl	S	3	4.2	0.49		-0.37		45.6		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
&delta;-FeOOH		S	3	295	0.45		0.12		35		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
&delta;-FeOOH		S	3	4.2			0		52.5		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
HP FeOOH		S	3	480	0.03		-0.13				1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
HP FeOOH		S	3	295	0.37		-0.13		35.2		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
HP FeOOH		S	3	10	0.49		-0.118		47.2		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Feroxyhyte	Hydroxides and Oxides containing hydroxyl	S	3	295	0.37		-0.06		41		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Feroxyhyte	Hydroxides and Oxides containing hydroxyl	S	3	4	0.48		0		53		1<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Feroxyhyte	Hydroxides and Oxides containing hydroxyl	S	3	4	0.48		0		52		2<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Ferrihydrite, 6-line	Simple Oxides	S	3	292	0.24		0.72				1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Ferrihydrite, 6-line	Simple Oxides	S	3	4.2	0.25		-0.06		50		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Ferrihydrite,2-line	Simple Oxides	S	3	295	0.24		0.79				1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Ferrihydrite,2-line	Simple Oxides	S	3	4.2	0.24		-0.01		47		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Bernalite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.382		-0.006		43.1		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Bernalite	Hydroxides and Oxides containing hydroxyl	S	3	4.2			0.01		56		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Hematite	Simple Oxides	S	3	295	0.37		-0.197		51.75		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Hematite	Simple Oxides	S	3	4.2	0.49		0.41		54.17		1<sub>(1)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
&epsilon;-Fe2O3		S	3	295	0.21		-0.07		26.2		1<sub>(4)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
&epsilon;-Fe2O3		S	3	295	0.38		0		39.5		2<sub>(4)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
&epsilon;-Fe2O3		S	3	295	0.39		-0.06		45		3<sub>(4)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
&epsilon;-Fe2O3		S	3	295	0.37		-0.19		45.2		4<sub>(4)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Magnetite	Multiple Oxides	S	2	295	0.26		0		49		1<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Magnetite	Multiple Oxides	S	2.5	295	0.67		0		46		2<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Maghemite	Multiple Oxides	S	3	295	0.23		0.02		50		1<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
Maghemite	Multiple Oxides	S	3	295	0.35		0.02		50		2<sub>(2)</sub>	Unkn	<a href="https://books.google.de/books?hl=de&lr=&id=dlMuE3_klW4C&oi=fnd&pg=PA1&dq=the+iron+oxide+cornell&ots=l0hNTd_1eG&sig=jG9Uek__CeNwJPx7wqpTCBpeHNA#v=onepage&q=the%20iron%20oxide%20cornell&f=false" target="_blank">Cornell and Schwertmann 2003</a>
